Method,Score,Confidence_Level,Category,Data_Source,Real_Data
Geometric Analysis,0.766,High,Original,MODIS/Sentinel-2 Satellite,YES
DEM/LiDAR Analysis,0.409,Medium,Original,OpenTopography SRTMGL1 DEM,YES
NDVI Analysis,0.147,Low,Original,MODIS/Sentinel-2 Spectral Bands,YES
Spectral Analysis,0.207,Low,Original,MODIS/Sentinel-2 Multispectral,YES
Thermal Analysis,0.000,Minimal,Original,MODIS Thermal Bands,YES
Soil Analysis,0.000,Minimal,Original,ISRIC SoilGrids Database,YES
Spatial Analysis,0.594,High,Original,OpenTopography DEM Autocorrelation,YES
AI Cultural Analysis,0.850,High,Original,OpenAI O3-Mini + Historical Analysis,NO
GEDI Forest Structure,0.134,Low,Amazon,NASA GEDI LiDAR,YES
Ethnobotanical Patterns,0.050,Minimal,Amazon,GBIF Biodiversity Database,YES
Hydro Management,0.842,High,Amazon,HydroRIVERS + OpenStreetMap,YES
